"Additional tax %s","Zzgl. MwSt. %s"
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"Amount","Menge"
"Center","Zentriert"
"Customer IP:","Kunden-IP:"
"Customer number:","Kunden-Nr:"
"Description","Bezeichnung"
"Discount","Rabatt"
"Grand Total (Excl. Tax)","Gesamtsumme (netto)"
"Grand Total (Incl. Tax)","Gesamtsumme"
"Incl. Tax (%s%%)","inkl. %s%% MwSt."
"Invoice","Rechnung"
"Invoice date:","Datum:"
"Invoice date is equal to delivery date","Rechnungsdatum entspricht dem Lieferdatum."
"Invoice maturity: %s days","Der gesamte Rechnungsbetrag ist in %s Tagen fällig."
"Invoice number:","Rechnung-Nr:"
"Left","Links"
"No.","Art-Nr."
"Order ID:","Bestell-Nr."
"Page","Seite"
"Payment and shipping","Versand und Zahlung"
"Payment method: %s","Zahlungsmethode: %s"
"Pos","Pos"
"Price","EP"
"Right","Rechts"
"Shipping & Handling","Versandkosten"
"Shipping method: %s","Versandmethode: %s"
"Subtotal","Zwischensumme"
"Tax","MwSt."
"Total","Gesamt"
"Total amount","Rechnungsbetrag"
